10	20	0.01349	0.00557
20	30	0.03430	0.00302
30	40	0.04730	0.00253
40	50	0.05663	0.00216
50	60	0.07479	0.00204
60	70	0.08664	0.00199
70	80	0.10097	0.00199
80	100	0.11159	0.00202
100	120	0.13272	0.00161
120	135	0.15394	0.00192
135	150	0.17248	0.00276
150	160	0.19339	0.00353
160	185	0.21048	0.00539
185	210	0.21398	0.00452
210	230	0.24513	0.00757
230	250	0.27052	0.01503
250	270	0.28008	0.02669
270	300	0.26078	0.04202
300	330	0.22333	0.05980
330	350	0.21549	0.18860
350	370	0.49795	0.48364
370	390	1.68044	109.62298
