10	20	0.01228	0.01001
20	30	0.02847	0.00360
30	40	0.03913	0.00250
40	50	0.04222	0.00208
50	60	0.05230	0.00187
60	70	0.05805	0.00175
70	80	0.06280	0.00170
80	100	0.06780	0.00169
100	120	0.07270	0.00126
120	135	0.07931	0.00144
135	150	0.08444	0.00199
150	160	0.08630	0.00247
160	185	0.08613	0.00361
185	210	0.08588	0.00305
210	230	0.09027	0.00489
230	250	0.08927	0.00908
250	270	0.10718	0.01556
270	300	0.11554	0.02652
300	330	0.11613	0.04391
330	350	0.21395	0.16095
350	370	0.44801	0.37696
370	390	0.79324	0.48820
