10	20	0.04110	0.05908
20	30	0.00983	0.01699
30	40	0.04681	0.07296
40	50	0.02138	0.01819
50	60	0.00826	0.01470
60	70	0.05301	0.28429
70	80	0.01529	0.01866
80	100	0.02735	0.01300
100	120	0.03663	0.01073
120	135	0.02875	0.00781
135	150	0.04290	0.01962
150	160	0.04782	0.01610
160	185	0.08115	0.05534
185	210	0.01826	0.01876
210	230	0.04338	0.02929
230	250	0.03430	0.03043
250	270	0.14128	0.12162
270	300	0.04459	0.13249
300	330	0.03939	0.20588
330	350	0.05812	0.11319
350	370	0.89335	2.85223
370	390	0.71192	0.55774
