10	20	0.08257	0.03862
20	30	0.05125	0.00788
30	40	0.03719	0.00571
40	50	0.03459	0.00477
50	60	0.04144	0.00469
60	70	0.03398	0.00432
70	80	0.05812	0.00628
80	100	0.03344	0.00556
100	120	0.03941	0.00492
120	135	0.04824	0.00645
135	150	0.02638	0.01361
150	160	0.02102	0.01686
160	185	0.02509	0.01899
185	210	0.04047	0.01684
210	230	0.04152	0.02188
230	250	0.14183	0.12192
250	270	0.05974	0.12655
270	300	0.05400	0.14390
300	330	0.30160	0.39859
330	350	0.08543	2.29993
350	370	0.12918	0.24534
370	390	0.80262	0.52683
