10	20	0.07552	0.02133
20	30	0.04201	0.00896
30	40	0.04237	0.00599
40	50	0.05936	0.00924
50	60	0.07182	0.01007
60	70	0.05010	0.00876
70	80	0.14555	0.06759
80	100	0.05534	0.00967
100	120	0.08319	0.02437
120	135	0.06928	0.02730
135	150	0.05444	0.03685
150	160	0.03995	0.04539
160	185	0.08022	3.15777
185	210	0.00331	0.04828
210	230	0.01370	0.06642
230	250	0.09648	0.12776
250	270	0.11091	0.14695
270	300	0.03611	0.29692
300	330	0.26287	0.16894
330	350	0.15478	0.30948
350	370	0.11161	0.40097
370	390	0.45891	0.27268
