10	20	0.72494	0.32394
20	30	0.34202	0.73784
30	40	0.51345	20.62269
40	50	0.51817	6.22643
50	60	0.40896	0.00000
60	70	1.13967	6.99289
70	80	0.93250	1.14944
80	100	0.97551	1.63689
100	120	0.08059	0.14495
120	135	0.27771	0.29179
135	150	0.23878	0.33735
150	160	0.16326	1.38932
160	185	0.10496	0.94850
185	210	0.39212	0.27766
210	230	0.13425	0.28221
230	250	0.99725	3.33882
250	270	0.26509	0.64240
270	300	0.07764	0.02266
300	330	0.18640	0.15182
330	350	0.12203	0.09067
350	370	0.03713	0.05259
370	390	0.02536	0.10686
390	420	0.20889	1.11326
420	500	0.10417	0.55422
