10	20	0.07416	0.00076
20	30	0.08039	0.00053
30	40	0.08050	0.00049
40	50	0.08022	0.00048
50	60	0.07892	0.00049
60	70	0.07731	0.00051
70	80	0.07720	0.00054
80	100	0.07457	0.00058
100	120	0.07314	0.00048
120	135	0.06970	0.00061
135	150	0.06654	0.00091
150	160	0.06640	0.00117
160	185	0.06634	0.00180
185	210	0.06245	0.00162
210	230	0.06624	0.00280
230	250	0.05413	0.00535
250	270	0.05396	0.00894
270	300	0.05514	0.01651
300	330	0.03788	0.05756
330	350	0.04305	0.10382
350	370	0.33643	0.57879
370	390	0.34748	0.47665
390	420	0.43014	0.53379
420	500	1.00000	0.00000
