10	20	0.00876	0.00659
20	30	0.03147	0.00152
30	40	0.04835	0.00107
40	50	0.06400	0.00089
50	60	0.07525	0.00079
60	70	0.08525	0.00074
70	80	0.09529	0.00071
80	100	0.10345	0.00071
100	120	0.11577	0.00053
120	135	0.12809	0.00061
135	150	0.14045	0.00084
150	160	0.14602	0.00103
160	185	0.15406	0.00152
185	210	0.16244	0.00130
210	230	0.17200	0.00212
230	250	0.17416	0.00393
250	270	0.17475	0.00622
270	300	0.17481	0.01056
300	330	0.20718	0.01695
330	350	0.28797	0.04278
350	370	0.03436	0.11407
370	390	0.24294	0.63843
390	420	0.32264	1.51872
420	500	1.00000	0.00000
