10	20	0.03928	0.03604
20	30	0.01275	0.01044
30	40	0.00557	0.00578
40	50	0.01090	0.00513
50	60	0.00916	0.00563
60	70	0.00464	0.01216
70	80	0.01614	0.00534
80	100	0.01447	0.00578
100	120	0.02505	0.00372
120	135	0.03480	0.00552
135	150	0.05299	0.00849
150	160	0.03754	0.00822
160	185	0.05844	0.01579
185	210	0.05304	0.02052
210	230	0.02584	0.02953
230	250	0.09309	0.04461
250	270	0.03398	0.57805
270	300	2.54624	180.11507
300	330	0.19365	0.21868
330	350	0.14356	0.34734
350	370	0.23053	0.25579
370	390	0.13615	0.42189
390	420	0.68086	0.67286
420	500	1.00000	0.00000
