10	20	0.03051	0.02879
20	30	0.00851	0.01949
30	40	0.03805	0.03823
40	50	0.02005	0.01761
50	60	0.05942	0.11677
60	70	0.01575	0.01598
70	80	0.05428	0.04545
80	100	0.00186	0.02495
100	120	0.00655	0.01992
120	135	0.04256	0.02181
135	150	0.05465	0.04086
150	160	0.07975	0.07422
160	185	0.14035	0.55375
185	210	0.02984	0.36192
210	230	0.08818	0.09919
230	250	0.02988	0.19419
250	270	0.06237	0.23625
270	300	0.27326	0.24754
300	330	0.16515	0.30611
330	350	0.15122	1.13419
350	370	0.34773	0.46015
370	390	0.95634	1.84991
