10	20	0.19729	0.00721
20	30	0.19731	0.00621
30	40	0.20314	0.00616
40	50	0.19989	0.00615
50	60	0.17644	0.00553
60	70	0.18205	0.00584
70	80	0.17968	0.00601
80	100	0.18269	0.00674
100	120	0.17310	0.00508
120	135	0.16904	0.00695
135	150	0.13892	0.01029
150	160	0.14644	0.01200
160	185	0.10282	0.01962
185	210	0.12778	0.01656
210	230	0.20191	0.04378
230	250	0.13371	0.04800
250	270	0.11947	0.13729
270	300	0.10634	0.31747
300	330	0.04490	0.54932
330	350	0.15330	0.40398
350	370	0.17824	0.20556
370	390	0.78580	2.48484
