10	20	0.05187	0.07461
20	30	0.00598	0.02914
30	40	0.05920	0.07299
40	50	0.03275	0.01958
50	60	0.00849	0.01673
60	70	0.03537	0.06253
70	80	0.01653	0.02020
80	100	0.02202	0.01619
100	120	0.03920	0.01060
120	135	0.03249	0.00785
135	150	0.03266	0.02758
150	160	0.05285	0.01909
160	185	0.11514	0.08757
185	210	0.03431	0.01876
210	230	0.05477	0.02841
230	250	0.03645	0.03262
250	270	0.16429	0.10617
270	300	0.41103	2.16829
300	330	0.05008	0.23419
330	350	0.05381	0.13327
350	370	0.97886	1.23328
370	390	0.24879	1.14101
