10	20	0.01329	0.00312
20	30	0.03210	0.00142
30	40	0.04914	0.00107
40	50	0.06434	0.00092
50	60	0.07761	0.00085
60	70	0.09154	0.00083
70	80	0.10280	0.00083
80	100	0.11643	0.00086
100	120	0.13494	0.00067
120	135	0.15841	0.00081
135	150	0.17843	0.00117
150	160	0.18973	0.00146
160	185	0.20809	0.00224
185	210	0.21112	0.00188
210	230	0.23495	0.00321
230	250	0.25175	0.00617
250	270	0.25202	0.00981
270	300	0.27281	0.01687
300	330	0.27079	0.02598
330	350	0.28150	0.06001
350	370	0.05566	0.13754
370	390	0.79479	2.31873
390	420	2.18415	4.34794
420	500	1.00000	0.00000
